keggId	uniprotId
YJL196C	P39540
YNL268W	P32487
YGR244C	P53312
YDR173C	P07250
YDR047W	P32347
YMR226C	Q05016
YOR388C	Q08911
YJR105W	P47143
YOR095C	Q12189
YKL217W	P36035
YDR380W	Q06408
YKL182W	P07149
YPR026W	P48016
YAL062W	P39708
YGR204W	P07245
YHL036W	P38734
YGL125W	P53128
YNL192W	P08004
YOR175C	Q08548
YOR190W	P32603
YBR298C	P38156
YOL140W	P18544
YER175C	P32643
YJR016C	P39522
YML075C	P12683
YNL009W	P53982
YEL047C	P32614
YOR184W	P33330
YNL101W	P50944
YJL214W	P40886
YKL174C	P36029
YER090W	P00899
YGR094W	P07806
YIL053W	P41277
YGR110W	P53264
YKL184W	P08432
YDR058C	P54857
YJR158W	P47185
YML123C	P25297
YJR013W	P47088
YJL166W	P08525
YBL076C	P09436
YPL061W	P54115
YBR205W	P38130
YEL063C	P04817
YGL184C	P53101
YOR040W	Q12320
YBR029C	P38221
YJR025C	P47096
YKL146W	P36062
YNL247W	P53852
YKL104C	P14742
YIL116W	P07172
YLR153C	P52910
YDR261C	P52911
YHR068W	P38791
YDR050C	P00942
YDR135C	P39109
YMR298W	Q03579
YDR191W	P53688
YBL042C	P38196
YLR307W	Q06702
YLR355C	P06168
YDR001C	P32356
YJL134W	P47013
YOR176W	P16622
YNL045W	Q10740
YBR097W	P22219
YDR007W	P00912
YLR231C	Q05979
YNL270C	P38971
YGR007W	P33412
YER062C	P40106
YEL069C	P39924
YLR043C	P22217
YDR226W	P07170
YDR497C	P30605
YPL091W	P41921
YNR013C	P27514
YJR148W	P47176
YGR247W	P53314
YLR038C	Q01519
YJR010W	P08536
YDR046C	P41815
YPR191W	P07257
YIR027C	P32375
YOR278W	P06174
YGR177C	P53296
YHL011C	P38689
YPL252C	Q12184
YNR058W	P50277
YNL104C	P06208
YKL127W	P33401
YBR068C	P38084
YMR189W	P49095
YBL011W	P32784
YDL210W	P32837
YMR319C	P40988
YKR089C	P36165
Q0045	P00401
YFL018C	P09624
YDR158W	P13663
YOR136W	P28241
YAL044C	P39726
YER026C	P08456
YGR088W	P06115
YEL039C	P00045
YOR143C	P35202
YOL059W	P41911
YJR103W	P38627
YJL005W	P08678
YLL041C	P21801
YOL020W	P38967
YER014W	P40012
YER053C	P40035
YNL256W	P53848
YPL040C	P48526
YMR272C	Q03529
YPR081C	Q06817
YMR293C	Q03557
YDR294C	Q05567
YMR105C	P37012
YFL045C	P07283
YLR359W	Q05911
YIL134W	P40464
YML059C	Q04958
YOR303W	P07258
YGL001C	P53199
YNR016C	Q00955
YJL101C	P32477
YCL004W	P25578
YDR402C	P21595
YDR037W	P15180
YIL002C	P40559
YDL131W	Q12122
YGR193C	P16451
YLL015W	P14772
YFL022C	P15625
YPR060C	P32178
YKL088W	P36076
YDR353W	P29509
YMR056C	P04710
YLR160C	P0CZ17
YLR160C	P0CX77
YLR160C	P0CX78
YLR160C	P0CX79
YML004C	P50107
YGR292W	P53341
YPR002W	Q12428
YHR011W	P38705
YKR053C	P23501
YIL107C	P40433
YDR487C	Q99258
YOR335C	P40825
YMR169C	P54114
YPL087W	Q02896
YDR287W	Q05533
YMR008C	P39105
YKL140W	P34163
YGL225W	P40107
YOL103W	P30606
YFL055W	P43548
YJR095W	P33303
YCR105W	P25377
YKL094W	P28321
YNL292W	P48567
YBR213W	P15807
YGL205W	P13711
YCR034W	P25358
YDR315C	Q06667
YGL119W	P27697
YPL273W	Q08985
YHL003C	P38703
YMR256C	P10174
YMR165C	P32567
YDR454C	P15454
YNL267W	P39104
YDR343C	P39003
YGR061C	P38972
YDR147W	Q03764
YOR348C	P15380
YLR070C	Q07993
YHR025W	P17423
YDR367W	Q06346
YNR041C	P32378
YJL068C	P40363
YIL020C	P40545
YBR153W	P33312
YMR062C	Q04728
YLR342W	P38631
YBR036C	P35206
YGR060W	P53045
YMR220W	P24521
YGR157W	P05374
Q0080	P00856
YOL049W	Q08220
YLL048C	P32386
YCL038C	P25568
YPL244C	Q12520
YDR072C	P38954
YHR007C	P10614
YJR153W	P47180
YER024W	P40017
YGL191W	P32799
YDL205C	P28789
YOR126C	P41734
YNR001C	P00890
YDR017C	Q12494
YJL221C	P0CW40
YJL221C	P0CW41
YJR048W	P00044
YML070W	P54838
YEL024W	P08067
YJL097W	P40857
YMR006C	Q03674
YDR377W	Q06405
YLR305C	P37297
YMR289W	Q03266
YER056C	P17064
YLR017W	Q07938
YNR067C	P53753
YIL111W	P00425
YCL035C	P25373
YIR028W	Q04895
YGL248W	P22434
YBR021W	P05316
YDL045C	P38913
YBL013W	P32785
YDL042C	P06700
YGR155W	P32582
YAR035W	P80235
YML106W	P13298
YJL219W	P40885
YKL024C	P15700
YFR015C	P23337
YOR323C	P54885
YJR073C	P05375
YPL206C	Q08959
YNR033W	P37254
YJR110W	P47147
YJL026W	P09938
YAL022C	P31381
YDR529C	P00128
YOR163W	Q99321
YBR011C	P00817
YJL216C	P40884
YIR037W	P40581
YLR285W	Q05874
YDL095W	P33775
YPL092W	P41930
YNL202W	P32573
YOR347C	P52489
YPR184W	Q06625
YPL172C	P21592
YJL045W	P47052
YHR137W	P38840
YJL121C	P46969
YJR057W	P00572
YDR503C	Q04396
YMR108W	P07342
YKL120W	P32332
YGR202C	P13259
YDR531W	Q04430
YNL280C	P32462
YCR037C	P25360
YIL099W	P08019
YDL171C	Q12680
YLR260W	Q06147
YLR348C	Q06143
YCR012W	P00560
YBR132C	P38090
YGL037C	P53184
YJL137C	P47011
YGL055W	P21147
YOL143C	P50861
YDR342C	P39004
YML056C	P50094
YML110C	P49017
YOL096C	P27680
YGR020C	P39111
YJR160C	P0CE00
YJL091C	P47026
YGR264C	P00958
YPR047W	P08425
YGL234W	P07244
YMR113W	Q12676
YOL064C	P32179
YER170W	P26364
YKL029C	P36013
YDL015C	Q99190
YJL212C	P40897
YLL028W	Q07824
