	ID	source	name
0	BIOMASS	['BIOMASS', 'mnx:BIOMASS', 'seed.compound:cpd11416', 'seedM:M_cpd11416', 'seedM:cpd11416']	biomass
1	MNXM10	['CHEBI:16908', 'CHEBI:57945', 'bigg.metabolite:nadh', 'biggM:M_nadh', 'biggM:nadh', 'chebi:13395', 'chebi:13396', 'chebi:16908', 'chebi:21902', 'chebi:44216', 'chebi:57945', 'chebi:7423', 'hmdb:HMDB0001487', 'hmdb:HMDB01487', 'kegg.compound:C00004', 'keggC:C00004', 'keggC:M_C00004', 'metacyc.compound:NADH', 'metacycM:NADH', 'reactome:R-ALL-192305', 'reactome:R-ALL-194697', 'reactome:R-ALL-29362', 'reactome:R-ALL-73473', 'reactomeM:R-ALL-192305', 'reactomeM:R-ALL-194697', 'reactomeM:R-ALL-29362', 'reactomeM:R-ALL-73473', 'sabiork.compound:38', 'sabiorkM:38', 'seed.compound:cpd00004', 'seedM:M_cpd00004', 'seedM:cpd00004']	nadh
2	MNXM10021	['seed.compound:cpd16853', 'seedM:M_cpd16853', 'seedM:cpd16853']	3-hydroxybutanoyl-acp
3	MNXM10029	['seed.compound:cpd16856', 'seedM:M_cpd16856', 'seedM:cpd16856']	3-hydroxyhexanoyl-acp
4	MNXM10033	['seed.compound:cpd16857', 'seedM:M_cpd16857', 'seedM:cpd16857']	3-hydroxyoctanoyl-acp
5	MNXM1018	['CHEBI:18333', 'bigg.metabolite:abt__D', 'biggM:M_abt__D', 'biggM:abt__D', 'chebi:12912', 'chebi:18333', 'chebi:20916', 'chebi:4105', 'hmdb:HMDB0000568', 'hmdb:HMDB00568', 'kegg.compound:C01904', 'keggC:C01904', 'keggC:M_C01904', 'metacyc.compound:CPD-355', 'metacycM:CPD-355', 'sabiork.compound:2333', 'sabiorkM:2333', 'seed.compound:cpd01307', 'seedM:M_cpd01307', 'seedM:cpd01307']	d-arabinitol
6	MNXM10287	['seed.compound:cpd16791', 'seedM:M_cpd16791', 'seedM:cpd16791']	5-[(5-phospho-1-deoxy-d-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide
7	MNXM1043	['CHEBI:27689', 'CHEBI:30813', 'SLM:000000855', 'bigg.metabolite:dca', 'biggM:M_dca', 'biggM:dca', 'chebi:125804', 'chebi:23570', 'chebi:23572', 'chebi:27689', 'chebi:30813', 'chebi:41906', 'chebi:4347', 'hmdb:HMDB0000511', 'hmdb:HMDB00511', 'kegg.compound:C01571', 'keggC:C01571', 'keggC:M_C01571', 'lipidmaps:LMFA01010010', 'lipidmapsM:LMFA01010010', 'metacyc.compound:CPD-3617', 'metacycM:CPD-3617', 'reactome:R-ALL-422019', 'reactome:R-ALL-879581', 'reactome:R-ALL-879620', 'reactomeM:R-ALL-422019', 'reactomeM:R-ALL-879581', 'reactomeM:R-ALL-879620', 'sabiork.compound:2296', 'sabiorkM:2296', 'seed.compound:cpd01107', 'seedM:M_cpd01107', 'seedM:cpd01107', 'slm:000000855']	decanoate
8	MNXM105	['CHEBI:15903', 'bigg.metabolite:glc_D_B', 'bigg.metabolite:glc__bD', 'biggM:M_glc_D_B', 'biggM:M_glc__bD', 'biggM:glc_D_B', 'biggM:glc__bD', 'chebi:10397', 'chebi:12373', 'chebi:15903', 'chebi:22795', 'chebi:41140', 'hmdb:HMDB0000516', 'hmdb:HMDB0003340', 'hmdb:HMDB00516', 'hmdb:HMDB03340', 'kegg.compound:C00221', 'keggC:C00221', 'keggC:M_C00221', 'metacyc.compound:GLC', 'metacycM:GLC', 'sabiork.compound:1378', 'sabiorkM:1378', 'seed.compound:cpd00190', 'seedM:M_cpd00190', 'seedM:cpd00190']	beta-d-glucose
9	MNXM107	['CHEBI:16301', 'CHEBI:25567', 'bigg.metabolite:no2', 'biggM:M_no2', 'biggM:no2', 'chebi:14658', 'chebi:16301', 'chebi:25567', 'chebi:44396', 'chebi:7585', 'envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7', 'envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7', 'hmdb:HMDB0002786', 'hmdb:HMDB02786', 'kegg.compound:C00088', 'keggC:C00088', 'keggC:M_C00088', 'metacyc.compound:NITRITE', 'metacycM:NITRITE', 'reactome:R-ALL-1222379', 'reactome:R-ALL-3697842', 'reactomeM:R-ALL-1222379', 'reactomeM:R-ALL-3697842', 'sabiork.compound:3058', 'sabiorkM:3058', 'seed.compound:cpd00075', 'seedM:M_cpd00075', 'seedM:cpd00075']	nitrite
10	MNXM1088948	['rheaP:9517']	dolichyl phosphate
11	MNXM1088957	['rheaP:9528']	dolichyl beta-d-glucosyl phosphate
12	MNXM1088958	['rheaP:9529']	dolichyl diphosphate
13	MNXM1088984	['rheaP:9597']	chitosan
14	MNXM1090682	['rheaG:13640']	glycyl-trna(ala)
15	MNXM1091234	['rheaG:9613']	trna(leu)
16	MNXM1091267	['rheaG:9657']	trna(ala)
17	MNXM1091268	['rheaG:9658']	trna(arg)
18	MNXM1091269	['rheaG:9659']	trna(asn)
19	MNXM1091270	['rheaG:9660']	trna(asp)
20	MNXM1091271	['rheaG:9661']	trna(cys)
21	MNXM1091272	['rheaG:9662']	trna(gln)
22	MNXM1091273	['rheaG:9663']	trna(glu)
23	MNXM1091274	['rheaG:9664']	trna(gly)
24	MNXM1091275	['rheaG:9665']	trna(his)
25	MNXM1091276	['rheaG:9666']	trna(ile)
26	MNXM1091277	['rheaG:9667']	trna(met)
27	MNXM1091278	['rheaG:9668']	trna(phe)
28	MNXM1091279	['rheaG:9669']	trna(ser)
