Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
isocitrate	['30887', 'C00311', '16087', '24885']	['24885', '30887', 'C00451', 'C00311', '151']	['30887', 'C00451', '24885', '16087', '151', 'C00311']	MNXM89661	['CHEBI:16087', 'CHEBI:30887', 'CHEBI:36453', 'CHEBI:36454', 'bigg.metabolite:icit', 'biggM:M_icit', 'biggM:icit', 'chebi:14465', 'chebi:16087', 'chebi:24884', 'chebi:24886', 'chebi:30887', 'chebi:36453', 'chebi:36454', 'chebi:5998', 'hmdb:HMDB0000193', 'hmdb:HMDB00193', 'kegg.compound:C00311', 'keggC:C00311', 'keggC:M_C00311', 'sabiork.compound:2013', 'sabiorkM:2013', 'seed.compound:cpd00260', 'seedM:M_cpd00260', 'seedM:cpd00260']	isocitrate	['24885', 'C00311', 'C00451', '151', '30887', '16087']	['36453', '36454', '24886', 'C00311', '14465', '16087', '24884', '30887', '5998']
protoporphyrinogen	['|PROTOPORPHYRINOGEN|', 'C01079', '57307', '15435']	['15435', 'C01079']	['|PROTOPORPHYRINOGEN|', 'C01079', '57307', '15435']	MNXM351	['CHEBI:15435', 'chebi:15435', 'hmdb:HMDB0001097', 'metacyc.compound:PROTOPORPHYRINOGEN', 'metacycM:PROTOPORPHYRINOGEN', 'reactome:R-ALL-189478', 'reactomeM:R-ALL-189478', 'seed.compound:cpd00791', 'seedM:cpd00791']	protoporphyrinogen	['PROTOPORPHYRINOGEN', '57307', 'C01079', '15435']	['PROTOPORPHYRINOGEN', '15435']
trans-hex-2-enoyl-acp	['10727', 'C05748']	['C05748', '10727']	['10727', 'C05748']	MNXM728716	['seed.compound:cpd11473', 'seedM:cpd11473']	trans-hex-2-enoyl-acp	['C05748', '10727']	[]
inositol-p-ceramide b (c26)	['60412']	['60412', '60409']	['60409', '60412']	MNXM527430	['CHEBI:60412', 'chebi:60412']	inositol-p-ceramide b (c26)	['60412', '60409']	['60412']
inositol-p-ceramide b (c26)	['60412']	['60412', '60409']	['60409', '60412']	MNXM57489	['metacyc.compound:CPD-16379', 'metacycM:CPD-16379', 'seed.compound:cpd31964', 'seedM:cpd31964']	inositol-p-ceramide b (c26)	['60412', '60409']	['CPD-16379']
phytosphingosine 1-phosphate	['|PHTYOSPHINGOSINE-1-P|', '64795', '46970']	['46970']	['|PHTYOSPHINGOSINE-1-P|', '64795', '46970']	MNXM734291	['seed.compound:cpd15283', 'seedM:M_cpd15283', 'seedM:cpd15283']	phytosphingosine 1-phosphate	['46970', '64795', 'PHTYOSPHINGOSINE-1-P']	[]
h+	['15378', 'C00080', '24636']	['C00080', '13361', '15378', '13358']	['24636', '13358', '15378', 'C00080', '13361']	MNXM1	['CHEBI:15378', 'bigg.metabolite:h', 'biggM:h', 'chebi:15378', 'hmdb:HMDB0059597', 'kegg.compound:C00080', 'keggC:C00080', 'metacyc.compound:PROTON', 'metacycM:PROTON', 'reactome:R-ALL-1132304', 'reactome:R-ALL-113529', 'reactome:R-ALL-1470067', 'reactome:R-ALL-156540', 'reactome:R-ALL-1614597', 'reactome:R-ALL-163953', 'reactome:R-ALL-193465', 'reactome:R-ALL-194688', 'reactome:R-ALL-2000349', 'reactome:R-ALL-2429673', 'reactome:R-ALL-2872447', 'reactome:R-ALL-351626', 'reactome:R-ALL-372511', 'reactome:R-ALL-374900', 'reactome:R-ALL-425969', 'reactome:R-ALL-425978', 'reactome:R-ALL-425999', 'reactome:R-ALL-427899', 'reactome:R-ALL-428040', 'reactome:R-ALL-428548', 'reactome:R-ALL-5228597', 'reactome:R-ALL-5244410', 'reactome:R-ALL-5668577', 'reactome:R-ALL-70106', 'reactome:R-ALL-74722', 'reactomeM:R-ALL-1132304', 'reactomeM:R-ALL-113529', 'reactomeM:R-ALL-1470067', 'reactomeM:R-ALL-156540', 'reactomeM:R-ALL-1614597', 'reactomeM:R-ALL-163953', 'reactomeM:R-ALL-193465', 'reactomeM:R-ALL-194688', 'reactomeM:R-ALL-2000349', 'reactomeM:R-ALL-2429673', 'reactomeM:R-ALL-2872447', 'reactomeM:R-ALL-351626', 'reactomeM:R-ALL-372511', 'reactomeM:R-ALL-374900', 'reactomeM:R-ALL-425969', 'reactomeM:R-ALL-425978', 'reactomeM:R-ALL-425999', 'reactomeM:R-ALL-427899', 'reactomeM:R-ALL-428040', 'reactomeM:R-ALL-428548', 'reactomeM:R-ALL-5228597', 'reactomeM:R-ALL-5244410', 'reactomeM:R-ALL-5668577', 'reactomeM:R-ALL-70106', 'reactomeM:R-ALL-74722', 'sabiork.compound:39', 'sabiorkM:39', 'seed.compound:cpd00067', 'seedM:cpd00067']	h+	['24636', '15378', '13358', 'C00080', '13361']	['C00080', 'PROTON', '15378']
lanosteryl palmitoleate	['52383']	['52383']	['52383']	MNXM59727	['CHEBI:52383', 'chebi:52383', 'lipidmaps:LMST01020033', 'lipidmapsM:LMST01020033']	lanosteryl palmitoleate	['52383']	['52383']
octaprenyl diphosphate	['53045', '16275', '|OCTAPRENYL-DIPHOSPHATE|', 'C04146', '57711']	['53045']	['53045', '16275', '|OCTAPRENYL-DIPHOSPHATE|', 'C04146', '57711']	MNXM7288	['metacyc.compound:CPD-9454', 'metacycM:CPD-9454']	octaprenyl diphosphate	['OCTAPRENYL-DIPHOSPHATE', '57711', 'C04146', '16275', '53045']	['CPD-9454']
octaprenyl diphosphate	['53045', '16275', '|OCTAPRENYL-DIPHOSPHATE|', 'C04146', '57711']	['53045']	['53045', '16275', '|OCTAPRENYL-DIPHOSPHATE|', 'C04146', '57711']	MNXM811	['CHEBI:53045', 'chebi:53045', 'hmdb:HMDB0001094', 'metacyc.compound:OCTAPRENYL-DIPHOSPHATE', 'metacycM:OCTAPRENYL-DIPHOSPHATE', 'seed.compound:cpd30761', 'seedM:cpd30761']	octaprenyl diphosphate	['OCTAPRENYL-DIPHOSPHATE', '57711', 'C04146', '16275', '53045']	['53045', 'OCTAPRENYL-DIPHOSPHATE']
ergosta-5,7,22,24(28)-tetraen-3beta-ol	['C05440', '|57222428-ERGOSTATETRAENOL|', '18249']	['18249', 'C05440']	['C05440', '|57222428-ERGOSTATETRAENOL|', '18249']	MNXM1109	['CHEBI:18249', 'SLM:000000327', 'bigg.metabolite:ergtetrol', 'biggM:M_ergtetrol', 'biggM:ergtetrol', 'chebi:14213', 'chebi:18249', 'chebi:4824', 'kegg.compound:C05440', 'keggC:C05440', 'keggC:M_C05440', 'lipidmaps:LMST01031015', 'lipidmapsM:LMST01031015', 'metacyc.compound:57222428-ERGOSTATETRAENOL', 'metacycM:57222428-ERGOSTATETRAENOL', 'seed.compound:cpd03223', 'seedM:M_cpd03223', 'seedM:cpd03223', 'slm:000000327']	ergosta-5,7,22,24(28)-tetraen-3beta-ol	['57222428-ERGOSTATETRAENOL', 'C05440', '18249']	['4824', '57222428-ERGOSTATETRAENOL', '14213', 'C05440', '18249']
nadp(+)	['25523', '18009', 'C00006']	['18009', '58349', 'C00006', '13390', 'C00667', '33737', '|Oxidized-adrenal-ferredoxins|']	['C00667', '|Oxidized-adrenal-ferredoxins|', '25523', '33737', '18009', '13390', '58349', 'C00006', 'Ox-NADPH-Hemoprotein-Reductases', '|Ox-NADPH-Hemoprotein-Reductases|']	MNXM5	['CHEBI:18009', 'CHEBI:25523', 'CHEBI:44409', 'CHEBI:58349', 'bigg.metabolite:nadp', 'biggM:M_nadp', 'biggM:nadp', 'chebi:13397', 'chebi:13398', 'chebi:18009', 'chebi:21903', 'chebi:25523', 'chebi:44405', 'chebi:44409', 'chebi:58349', 'chebi:7424', 'hmdb:HMDB0000217', 'hmdb:HMDB00217', 'kegg.compound:C00006', 'keggC:C00006', 'keggC:M_C00006', 'metacyc.compound:NADP', 'metacycM:NADP', 'reactome:R-ALL-113563', 'reactome:R-ALL-113564', 'reactome:R-ALL-194668', 'reactome:R-ALL-2000348', 'reactome:R-ALL-29366', 'reactome:R-ALL-351628', 'reactome:R-ALL-389556', 'reactome:R-ALL-5623650', 'reactomeM:R-ALL-113563', 'reactomeM:R-ALL-113564', 'reactomeM:R-ALL-194668', 'reactomeM:R-ALL-2000348', 'reactomeM:R-ALL-29366', 'reactomeM:R-ALL-351628', 'reactomeM:R-ALL-389556', 'reactomeM:R-ALL-5623650', 'sabiork.compound:1263', 'sabiorkM:1263', 'seed.compound:cpd00006', 'seedM:M_cpd00006', 'seedM:cpd00006']	nadp(+)	['25523', '33737', '58349', '13390', 'C00667', 'Ox-NADPH-Hemoprotein-Reductases', '18009', 'C00006', 'Oxidized-adrenal-ferredoxins']	['44409', '25523', '44405', '58349', '21903', 'NADP', '7424', '18009', 'C00006', '13397', '13398']
zymosterol intermediate 2	['52386']	['52386']	['52386']	MNXM733492	['seed.compound:cpd15300', 'seedM:M_cpd15300', 'seedM:cpd15300']	zymosterol intermediate 2	['52386']	[]
adenosine 2'-phosphate	['C00946', '28223', '77740', '|CPD-3705|']	['C00946', '28223', 'CPD-3705', '77740']	['CPD-3705', '28223', 'C00946', '|CPD-3705|', '77740']	MNXM739538	['CHEBI:28223', 'CHEBI:77740', 'chebi:22239', 'chebi:2474', 'chebi:28223', 'chebi:39714', 'chebi:77740', 'kegg.compound:C00946', 'keggC:C00946', 'keggC:M_C00946', 'metacyc.compound:CPD-3705', 'metacycM:CPD-3705', 'sabiork.compound:1694', 'sabiorkM:1694', 'seed.compound:cpd00700', 'seedM:M_cpd00700', 'seedM:cpd00700']	adenosine 2'-phosphate	['CPD-3705', '28223', 'C00946', '77740']	['CPD-3705', '22239', '2474', '77740', '39714', '28223', 'C00946']
adenosine 2'-phosphate	['C00946', '28223', '77740', '|CPD-3705|']	['C00946', '28223', 'CPD-3705', '77740']	['CPD-3705', '28223', 'C00946', '|CPD-3705|', '77740']	MNXM739539	['hmdb:HMDB0011617', 'hmdb:HMDB11617']	adenosine 2'-phosphate	['CPD-3705', '28223', 'C00946', '77740']	[]
fatty acid	['35366', 'C00162']	['35366', 'C00162']	['35366', 'C00162']	MNXM739606	['kegg.compound:C00162', 'keggC:C00162', 'keggC:M_C00162', 'sabiork.compound:1927', 'sabiork.compound:3036', 'sabiorkM:1927', 'sabiorkM:3036']	fatty acid	['C00162', '35366']	['C00162']
fatty acid	['35366', 'C00162']	['35366', 'C00162']	['35366', 'C00162']	MNXM739613	['CHEBI:35366', 'chebi:13633', 'chebi:24024', 'chebi:35366', 'chebi:4984', 'reactome:R-ALL-1500593', 'reactome:R-ALL-166217', 'reactome:R-ALL-166226', 'reactome:R-ALL-422024', 'reactome:R-ALL-426026', 'reactomeM:R-ALL-1500593', 'reactomeM:R-ALL-166217', 'reactomeM:R-ALL-166226', 'reactomeM:R-ALL-422024', 'reactomeM:R-ALL-426026']	fatty acid	['C00162', '35366']	['13633', '4984', '35366', '24024']
fatty acid	['35366', 'C00162']	['35366', 'C00162']	['35366', 'C00162']	MNXM739622	['seed.compound:cpd19000', 'seedM:M_cpd19000', 'seedM:cpd19000']	fatty acid	['C00162', '35366']	[]
